# Team Round-Robin Tournament Solution for n=34, m=17
# 全队循环赛编排方案 n=34, m=17
# Solved by CP-SAT in 27.9s
# Format: player LEFT of '-' goes first / "-"左边的队员执先

第1轮 A1-B1 A2-B2 A3-B3 A4-B4 A5-B5 A6-B6 A7-B7 A8-B8 A9-B9 A10-B10 A11-B11 A12-B12 A13-B13 A14-B14 A15-B15 A16-B16 A17-B17 B18-A18 B19-A19 B20-A20 B21-A21 B22-A22 B23-A23 B24-A24 B25-A25 B26-A26 B27-A27 B28-A28 B29-A29 B30-A30 B31-A31 B32-A32 B33-A33 B34-A34
第2轮 B2-A1 A2-B23 A3-B22 B19-A4 B1-A5 A6-B9 B17-A7 A8-B27 A9-B28 B4-A10 B10-A11 B14-A12 A13-B8 A14-B29 A15-B26 B12-A16 B33-A17 B30-A18 B24-A19 B13-A20 B6-A21 B16-A22 A23-B31 B34-A24 A25-B5 A26-B7 A27-B15 A28-B25 A29-B11 B21-A30 B18-A31 A32-B3 A33-B32 A34-B20
第3轮 B34-A1 A2-B32 A3-B5 A4-B11 A5-B16 A6-B4 A7-B24 A8-B28 B6-A9 B9-A10 B21-A11 A12-B2 A13-B12 A14-B1 B30-A15 A16-B29 B10-A17 B22-A18 B33-A19 B3-A20 B23-A21 B26-A22 A23-B13 B27-A24 B18-A25 B25-A26 A27-B19 A28-B7 B8-A29 A30-B31 A31-B14 A32-B17 B20-A33 B15-A34
第4轮 B33-A1 A2-B9 A3-B4 B15-A4 B3-A5 B28-A6 B20-A7 A8-B16 B21-A9 B32-A10 B29-A11 A12-B6 B22-A13 A14-B26 A15-B5 A16-B24 B13-A17 B11-A18 A19-B10 B12-A20 B25-A21 A22-B23 B14-A23 A24-B1 B34-A25 B19-A26 A27-B30 A28-B17 A29-B18 A30-B2 B27-A31 A32-B8 A33-B7 A34-B31
第5轮 A1-B32 A2-B1 A3-B26 A4-B22 A5-B6 B2-A6 B18-A7 B25-A8 B17-A9 B13-A10 A11-B33 B7-A12 B21-A13 A14-B19 B10-A15 A16-B14 A17-B20 A18-B12 A19-B31 B9-A20 B15-A21 A22-B30 B16-A23 B29-A24 A25-B8 B27-A26 A27-B34 B5-A28 A29-B23 B4-A30 A31-B24 A32-B11 B3-A33 B28-A34
第6轮 B31-A1 A2-B29 A3-B10 B6-A4 A5-B20 B33-A6 A7-B34 A8-B17 B2-A9 B15-A10 B12-A11 B18-A12 B25-A13 A14-B5 A15-B1 B9-A16 A17-B11 B13-A18 A19-B7 B24-A20 A21-B4 A22-B28 B30-A23 A24-B3 B23-A25 A26-B21 A27-B32 B26-A28 A29-B14 B27-A30 A31-B22 A32-B16 B8-A33 B19-A34
第7轮 A1-B30 B25-A2 B8-A3 B7-A4 B32-A5 A6-B15 A7-B26 A8-B20 B18-A9 A10-B21 A11-B13 A12-B27 B11-A13 B31-A14 A15-B12 B5-A16 B14-A17 A18-B24 A19-B16 A20-B6 B10-A21 A22-B19 B9-A23 B17-A24 B22-A25 A26-B23 B2-A27 A28-B33 A29-B28 A30-B1 A31-B3 B34-A32 B29-A33 B4-A34
第8轮 B29-A1 B33-A2 B1-A3 A4-B10 A5-B34 B23-A6 A7-B5 B18-A8 A9-B30 A10-B19 A11-B15 B16-A12 A13-B31 A14-B9 B8-A15 B26-A16 A17-B6 B28-A18 B3-A19 B4-A20 A21-B2 A22-B12 B20-A23 A24-B32 A25-B17 B22-A26 B11-A27 A28-B24 A29-B27 A30-B13 A31-B25 B7-A32 B14-A33 B21-A34
第9轮 A1-B28 A2-B20 B29-A3 A4-B26 B2-A5 B25-A6 B32-A7 B11-A8 A9-B24 B8-A10 B17-A11 A12-B15 B18-A13 A14-B10 B27-A15 B3-A16 B5-A17 B21-A18 B22-A19 B16-A20 A21-B33 B31-A22 A23-B1 A24-B14 B9-A25 A26-B4 A27-B23 B19-A28 A29-B7 A30-B12 A31-B34 A32-B30 A33-B13 A34-B6
第10轮 A1-B27 B24-A2 B16-A3 B31-A4 A5-B8 A6-B26 A7-B28 B15-A8 B32-A9 B12-A10 A11-B25 B10-A12 A13-B29 B13-A14 A15-B21 A16-B34 B23-A17 A18-B20 B1-A19 A20-B11 A21-B17 B14-A22 A23-B6 B33-A24 A25-B3 B9-A26 B18-A27 A28-B2 A29-B5 B7-A30 A31-B19 B4-A32 A33-B30 B22-A34
第11轮 B26-A1 B7-A2 A3-B9 B1-A4 B4-A5 A6-B21 B25-A7 B12-A8 A9-B33 B18-A10 A11-B8 A12-B5 A13-B28 B32-A14 A15-B23 A16-B2 B34-A17 B16-A18 A19-B13 A20-B10 B20-A21 B3-A22 A23-B24 A24-B11 A25-B14 B31-A26 A27-B22 B30-A28 B19-A29 A30-B6 B17-A31 B29-A32 A33-B15 A34-B27
