# Team Round-Robin Tournament Solution for n=34, m=17
# EXTRA: No player goes first/second 3 rounds in a row
# 额外约束：任何队员都不能连续三轮执先或连续三轮执后
# Solved by CP-SAT in 32.3s
# Format: player LEFT of '-' goes first

第1轮 A1-B1 A2-B2 B3-A3 A4-B4 B5-A5 B6-A6 A7-B7 B8-A8 B9-A9 B10-A10 A11-B11 B12-A12 A13-B13 A14-B14 B15-A15 A16-B16 B17-A17 B18-A18 A19-B19 A20-B20 B21-A21 A22-B22 B23-A23 B24-A24 A25-B25 B26-A26 B27-A27 B28-A28 A29-B29 A30-B30 A31-B31 A32-B32 B33-A33 A34-B34
第2轮 B2-A1 A2-B23 A3-B22 B19-A4 B1-A5 A6-B9 B17-A7 B27-A8 B28-A9 A10-B4 A11-B10 A12-B14 A13-B8 B29-A14 A15-B26 A16-B12 B33-A17 A18-B30 B24-A19 B13-A20 B6-A21 B16-A22 A23-B31 B34-A24 B5-A25 A26-B7 A27-B15 A28-B25 B11-A29 A30-B21 A31-B18 B3-A32 A33-B32 B20-A34
第3轮 B34-A1 B32-A2 A3-B5 A4-B11 A5-B16 B4-A6 A7-B24 A8-B28 A9-B6 B9-A10 B21-A11 A12-B2 B12-A13 A14-B1 B30-A15 B29-A16 A17-B10 B22-A18 A19-B33 A20-B3 A21-B23 A22-B26 B13-A23 A24-B27 B18-A25 B25-A26 B19-A27 B7-A28 A29-B8 B31-A30 B14-A31 A32-B17 A33-B20 B15-A34
第4轮 A1-B33 A2-B9 B4-A3 B15-A4 B3-A5 B28-A6 B20-A7 B16-A8 A9-B21 B32-A10 A11-B29 B6-A12 A13-B22 B26-A14 A15-B5 A16-B24 A17-B13 A18-B11 B10-A19 A20-B12 B25-A21 B23-A22 A23-B14 A24-B1 A25-B34 A26-B19 B30-A27 A28-B17 B18-A29 B2-A30 A31-B27 B8-A32 B7-A33 A34-B31
第5轮 A1-B32 B1-A2 A3-B26 B22-A4 A5-B6 A6-B2 A7-B18 A8-B25 B17-A9 A10-B13 B33-A11 A12-B7 B21-A13 A14-B19 A15-B10 B14-A16 B20-A17 B12-A18 B31-A19 B9-A20 A21-B15 A22-B30 A23-B16 B29-A24 B8-A25 B27-A26 A27-B34 B5-A28 B23-A29 A30-B4 B24-A31 B11-A32 A33-B3 A34-B28
第6轮 B31-A1 A2-B29 B10-A3 A4-B6 A5-B20 B33-A6 B34-A7 B17-A8 B2-A9 B15-A10 A11-B12 B18-A12 B25-A13 B5-A14 B1-A15 B9-A16 A17-B11 B13-A18 A19-B7 A20-B24 A21-B4 A22-B28 B30-A23 A24-B3 A25-B23 B21-A26 A27-B32 A28-B26 A29-B14 B27-A30 A31-B22 A32-B16 A33-B8 B19-A34
第7轮 B30-A1 B25-A2 A3-B8 B7-A4 B32-A5 A6-B15 B26-A7 A8-B20 A9-B18 A10-B21 B13-A11 A12-B27 A13-B11 A14-B31 A15-B12 A16-B5 B14-A17 A18-B24 B16-A19 B6-A20 B10-A21 B19-A22 A23-B9 A24-B17 A25-B22 A26-B23 B2-A27 A28-B33 B28-A29 A30-B1 B3-A31 B34-A32 B29-A33 B4-A34
第8轮 A1-B29 A2-B33 B1-A3 A4-B10 A5-B34 B23-A6 A7-B5 B18-A8 A9-B30 A10-B19 A11-B15 A12-B16 B31-A13 B9-A14 B8-A15 A16-B26 A17-B6 A18-B28 A19-B3 B4-A20 A21-B2 B12-A22 B20-A23 B32-A24 B17-A25 B22-A26 B11-A27 B24-A28 B27-A29 A30-B13 A31-B25 B7-A32 B14-A33 A34-B21
第9轮 B28-A1 B20-A2 A3-B29 B26-A4 B2-A5 A6-B25 A7-B32 A8-B11 B24-A9 B8-A10 B17-A11 B15-A12 A13-B18 A14-B10 B27-A15 B3-A16 B5-A17 B21-A18 B22-A19 A20-B16 B33-A21 A22-B31 B1-A23 A24-B14 A25-B9 A26-B4 A27-B23 A28-B19 A29-B7 B12-A30 A31-B34 A32-B30 A33-B13 B6-A34
第10轮 A1-B27 A2-B24 B16-A3 A4-B31 A5-B8 B26-A6 B28-A7 A8-B15 B32-A9 A10-B12 B25-A11 B10-A12 B29-A13 B13-A14 A15-B21 B34-A16 B23-A17 A18-B20 A19-B1 B11-A20 A21-B17 A22-B14 A23-B6 B33-A24 A25-B3 A26-B9 B18-A27 B2-A28 A29-B5 A30-B7 B19-A31 B4-A32 B30-A33 A34-B22
第11轮 A1-B26 B7-A2 B9-A3 B1-A4 A5-B4 B21-A6 A7-B25 B12-A8 A9-B33 A10-B18 A11-B8 A12-B5 A13-B28 B32-A14 B23-A15 A16-B2 A17-B34 B16-A18 B13-A19 A20-B10 B20-A21 B3-A22 A23-B24 A24-B11 B14-A25 B31-A26 A27-B22 A28-B30 B19-A29 B6-A30 A31-B17 B29-A32 A33-B15 B27-A34
